id,timestamp,source,category,summary,raw_text,tags,hash
1e4c4cfcfeb413f497824f1e02f5839931b9be18bbe5d48a8e6459f87a97f7bb,2026-02-19T02:28:01.759086,manual_test,phase11,initial save test,This is the first Phase11 test record.,"phase11,test",7960fa8496a3604133e49e5190ad6bebca9f8a1ff119e5c6ed7397dad4238613
2cfd955f53d4f062787849f88e5b361f61cc8e2680c55675e0321523313b202c,2026-02-19T02:29:01.763252,manual_test,phase11,initial save test,This is the first Phase11 test record.,"phase11,test",7960fa8496a3604133e49e5190ad6bebca9f8a1ff119e5c6ed7397dad4238613
f9ec59670076b0268f07a198a53077aebf20e872dd1f516c9bde7d9af2930ac7,2026-02-19T02:29:40.827521+00:00,manual_test,phase11,initial save test,This is the first Phase11 test record.,"phase11,test",7960fa8496a3604133e49e5190ad6bebca9f8a1ff119e5c6ed7397dad4238613
e4cead0f569f4bdaf49defc6dc64502c17d6147537a9a0aa4b61f565a34e9204,2026-02-19T02:35:25.347495+00:00,manual_test,phase11,initial save test,This is the first Phase11 test record.,"phase11,test",7960fa8496a3604133e49e5190ad6bebca9f8a1ff119e5c6ed7397dad4238613
7d456606116ec8ce9ed0b2b2fd4aedd6be097bde6bd3098c675ef723900a08a5,2026-02-19T02:36:46.458225+00:00,runner_test,phase11,argparse ok,save via runner args,"phase11,runner",3d9ad2e36168202f2b04a44abfbfed9b945149d2e1eb611046d9ec9bd8203f62
b973d940443636b197ff2c182506d6f3adccbe1e49efe6e7e5954c29c759eabf,2026-02-19T02:37:39.095851+00:00,ps_runner,phase11,runner save,saved by mocka_phase11.ps1,"phase11,runner",15ce6193b389fb8e34cf4242921d3bf57a05f5f5c3208a1302eed33bc5447000
49a49aad759fd1424a187a1ad44146c33b43114cb04016eede7b8993a2b0174b,2026-02-19T02:39:15.913999+00:00,proof_unify,phase11,evidence unified,save evidence json/proof json,"phase11,evidence",85b556de7c1a5c75cbca80ce6d4090611de9000eac8aa3fd24e820c213ec997d
589fa000545c72997deacafc2fef3b143fff0a00bd77738cd9b891790f1e92b7,2026-02-19T02:46:57.211223+00:00,perf,phase11,fast save,fast save 2026-02-19T11:46:56.5896366+09:00,"phase11,perf",7693d64cfcaa68463f3d427349b26568eff137d1f61ea37fe20babba8159402b
ab65d0395f425edab9abf6262e867d4d62c8fb860e8f1de7814a51ef7cc9229a,2026-02-19T02:48:03.274517+00:00,work,memo,...,...,"tag1,tag2",ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
d960fbee0a613e73e888c6ec7710ca0c340337740dcd4115ad20b4171cb0e943,2026-02-19T02:49:59.598587+00:00,work,memo,no_xlsx,fast ingest 2026-02-19T11:49:58.9895772+09:00,"tag1,tag2",9e68e4bcfcff0a0c809a7c5fb04a27370af4b6d307014398da88a8fb006d0e31
ee3c9ad61983380d673d7784d99227c16ae953a0ecf2431c9ef50964c8da22c3,2026-02-19T02:51:53.004374+00:00,work,memo,normal,normal save,tag1,eb132219a1c6b7a96a140da625231a611ebaa0e115a65a671be32e4821bfe421
4881eb7c2ec91f47dcdb762caa0e2c3abab3e535ce23050a9337a623041cb38a,2026-02-19T02:51:57.206422+00:00,work,memo,bulk,bulk ingest 2026-02-19T11:51:56.6396147+09:00,tag1,aa299d2444c0c1b3ebe803645624752d3bc068d078cbeed15ea535c0110e5a35
d8f10ad856bb983780dbbdbfefd4df56d742a469ade6523b51134e0606584150,2026-02-19T02:52:01.489698+00:00,work,memo,bulk,bulk ingest 2026-02-19T11:52:00.9216128+09:00,tag1,3e4ba327d0ff63a0232add29c1ed70b0f25b807df1457bfddc269f7ad1e1658b
1f193d65e90425b78a7504fe17972a2051dea8eaf089092c71ce2156b26744d5,2026-02-19T02:53:47.940370+00:00,work,memo,bulk,bulk ingest 2026-02-19T11:53:47.2914981+09:00,tag1,34a967ec6ec8965ea06ae227ce3765cb41ed2955ba0c765bd15e0c4620454ae2
